world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,Caltech,United States of America,North America,95.6,64,97.6,99.8,97.8,95.2,"2,243",6.9,27%,33 : 67,2016
2,University of Oxford,United Kingdom,Europe,86.5,94.4,98.9,98.8,73.1,94.2,"19,919",11.6,34%,46:54:00,2016
3,Stanford University,United States of America,North America,92.5,76.3,96.2,99.9,63.3,93.9,"15,596",7.8,22%,42:58:00,2016
4,University of Cambridge,United Kingdom,Europe,88.2,91.5,96.7,97,55,92.8,"18,812",11.8,34%,46:54:00,2016
5,MIT,United States of America,North America,89.4,84,88.6,99.7,95.4,92,"11,074",9,33%,37 : 63,2016
6,Harvard University,United States of America,North America,83.6,77.2,99,99.8,45.2,91.6,"20,152",8.9,25%,,2016
7,Princeton University,United States of America,North America,85.1,78.5,91.9,99.3,52.1,90.1,"7,929",8.4,27%,45:55:00,2016
8,Imperial College London,United Kingdom,Europe,83.3,96,88.5,96.7,53.7,89.1,"15,060",11.7,51%,37 : 63,2016
9,ETH Zurich,Switzerland,Europe,77,97.9,95,91.1,80,88.3,"18,178",14.7,37%,31 : 69,2016
10,University of Chicago,United States of America,North America,85.7,65,88.9,99.2,36.6,87.9,"14,221",6.9,21%,42:58:00,2016
11,Johns Hopkins University,United States of America,North America,77.6,70,90.4,98.2,100,87.6,"15,128",3.6,23%,50:50:00,2016
12,Yale University,United States of America,North America,86.5,64.3,87.8,97.2,43.3,87.4,"11,751",4.4,20%,50:50:00,2016
13,UC-Berkeley,United States of America,North America,80.4,61.9,91.1,99.7,47.9,87.2,"36,186",16.4,15%,50:50:00,2016
14,University College London,United Kingdom,Europe,78.1,94.4,91,94.2,40.5,87.1,"26,607",10.7,46%,56:44:00,2016
15,Columbia University,United States of America,North America,85.9,73.5,82.2,98.1,-,86.1,"25,055",5.9,28%,,2016
16,UCLA,United States of America,North America,80.8,56.4,88.6,98.5,47.9,85.8,"38,206",10.3,15%,52:48:00,2016
17,University of Pennsylvania,United States of America,North America,82,49.5,86.9,98.6,47.9,85.2,"20,376",6.5,20%,51:49:00,2016
18,Cornell University,United States of America,North America,77.9,63.9,86.1,97.2,33.7,84,"21,424",10.2,19%,48:52:00,2016
19,University of Toronto,Canada,North America,75.9,77.8,89.3,90.9,49.1,83.9,"66,198",19.5,15%,,2016
